Unnamed: 0,image,class,group_id
15176,data/FaceForensics++_frame/original_sequences/youtube/c23/images/164/0975_face_00.png,0,youtube/164
17884,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/105_180/0180_face_00.png,1,NeuralTextures/105_180
40099,data/FaceForensics++_frame/manipulated_sequences/FaceSwap/c23/images/068_028/0330_face_00.png,1,FaceSwap/068_028
34927,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/321_288/0375_face_00.png,1,Deepfakes/321_288
25420,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/249_280/0180_face_00.png,1,Deepfakes/249_280
15601,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/608_675/0625_face_00.png,1,Deepfakes/608_675
63938,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/550_452/0270_face_00.png,1,NeuralTextures/550_452
15147,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/781_806/0275_face_00.png,1,NeuralTextures/781_806
20664,data/FaceForensics++_frame/manipulated_sequences/Face2Face/c23/images/732_691/0350_face_00.png,1,Face2Face/732_691
35110,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/683_607/0150_face_00.png,1,NeuralTextures/683_607
29923,data/FaceForensics++_frame/manipulated_sequences/FaceShifter/c23/images/122_144/0090_face_00.png,1,FaceShifter/122_144
20508,data/FaceForensics++_frame/manipulated_sequences/FaceShifter/c23/images/661_670/0225_face_00.png,1,FaceShifter/661_670
67178,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/043_110/0000_face_00.png,1,NeuralTextures/043_110
44351,data/FaceForensics++_frame/original_sequences/youtube/c23/images/041/0025_face_00.png,0,youtube/041
4336,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/846_845/0025_face_00.png,1,Deepfakes/846_845
9999,data/FaceForensics++_frame/manipulated_sequences/Face2Face/c23/images/407_374/0225_face_00.png,1,Face2Face/407_374
41507,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/703_604/0270_face_00.png,1,Deepfakes/703_604
56032,data/FaceForensics++_frame/manipulated_sequences/FaceShifter/c23/images/331_260/0350_face_00.png,1,FaceShifter/331_260
23186,data/FaceForensics++_frame/original_sequences/youtube/c23/images/149/0300_face_00.png,0,youtube/149
48288,data/FaceForensics++_frame/original_sequences/youtube/c23/images/110/0030_face_00.png,0,youtube/110
43746,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/678_460/0300_face_00.png,1,Deepfakes/678_460
24522,data/FaceForensics++_frame/original_sequences/youtube/c23/images/418/0288_face_00.png,0,youtube/418
55435,data/FaceForensics++_frame/manipulated_sequences/NeuralTextures/c23/images/838_810/0000_face_00.png,1,NeuralTextures/838_810
50231,data/FaceForensics++_frame/manipulated_sequences/Deepfakes/c23/images/319_352/0250_face_00.png,1,Deepfakes/319_352
20552,data/FaceForensics++_frame/original_sequences/youtube/c23/images/260/0150_face_00.png,0,youtube/260
56278,data/FaceForensics++_frame/manipulated_sequences/FaceShifter/c23/images/721_715/0450_face_00.png,1,FaceShifter/721_715
12657,data/FaceForensics++_frame/manipulated_sequences/Face2Face/c23/images/001_870/0325_face_00.png,1,Face2Face/001_870
